"","equi_c_output"
"322",0.42510069890625
"323",0.42510069890625
"324",-17.4194796573118
"325",0.0413059488657066
"326",0.42510069890625
"327",-0.280115506509524
"328",0.42510069890625
"329",0.42510069890625
"330",0.42510069890625
"331",0.42510069890625
"332",0.42510069890625
"333",0.0413059488657066
"334",0.42510069890625
"335",0.0413059488657066
"336",0.0413059488657066
"337",-17.6490521123973
"338",0.0413059488657066
"339",0.42510069890625
"340",0.42510069890625
"341",0.42510069890625
"342",0.42510069890625
"343",0.42510069890625
"344",0.42510069890625
"345",0.42510069890625
"346",0.42510069890625
"347",-0.280115506509524
"348",0.42510069890625
"349",0.42510069890625
"350",0.42510069890625
"351",0.0413059488657066
"352",0.0413059488657066
"353",0.0413059488657066
"354",0.42510069890625
"355",0.42510069890625
"356",0.42510069890625
"357",0.42510069890625
"358",0.42510069890625
"359",0.42510069890625
"360",0.42510069890625
"361",-9.27345329008875
"362",0.0413059488657066
"363",0.42510069890625
"364",0.0413059488657066
"365",0.42510069890625
"366",0.42510069890625
"367",0.42510069890625
"368",0.42510069890625
"369",0.42510069890625
"370",0.42510069890625
"371",0.42510069890625
"372",0.42510069890625
"373",0.42510069890625
"374",0.42510069890625
"375",0.42510069890625
"376",0.42510069890625
"377",0.0413059488657066
"378",0.42510069890625
"379",0.42510069890625
"380",0.42510069890625
"381",0.42510069890625
"382",0.0413059488657066
"383",0.0413059488657066
"384",0.42510069890625
"385",0.42510069890625
"386",0.42510069890625
"387",0.42510069890625
"388",0.42510069890625
"389",0.42510069890625
"390",0.42510069890625
"391",0.42510069890625
"392",0.42510069890625
"393",0.0413059488657066
"394",0.42510069890625
"395",0.42510069890625
"396",0.42510069890625
"397",0.0413059488657066
"398",0.0413059488657066
"399",0.42510069890625
"400",0.0413059488657066
"401",0.130000361347536
"402",-0.280115506509524
"403",0.42510069890625
"404",0.130000361347536
"405",0.42510069890625
"406",0.42510069890625
"407",0.0413059488657066
"408",0.0413059488657066
"409",0.42510069890625
"410",0.42510069890625
"411",0.42510069890625
"412",0.42510069890625
"413",0.42510069890625
"414",0.42510069890625
"415",0.42510069890625
"416",0.0413059488657066
"417",0.42510069890625
"418",0.42510069890625
"419",0.42510069890625
"420",0.42510069890625
"421",0.42510069890625
"422",0.42510069890625
"423",0.42510069890625
"424",0.0413059488657066
"425",0.0413059488657066
"426",0.42510069890625
"427",0.42510069890625
"428",0.42510069890625
"429",0.42510069890625
"430",0.42510069890625
"431",0.42510069890625
"432",0.42510069890625
"433",0.42510069890625
"434",0.0413059488657066
"435",0.0413059488657066
"436",0.42510069890625
"437",0.0413059488657066
"438",0.0413059488657066
"439",0.42510069890625
"440",0.130000361347536
"441",0.0413059488657066
"442",0.42510069890625
"443",0.42510069890625
"444",0.42510069890625
"445",0.42510069890625
"446",0.0413059488657066
"447",0.42510069890625
"448",0.42510069890625
"449",0.42510069890625
"450",0.42510069890625
"451",0.0413059488657066
"452",0.130000361347536
