"","ego_c_output"
"184",0.23080512108072
"185",0.23080512108072
"186",0.23080512108072
"187",0.23080512108072
"188",0.23080512108072
"189",0.522192448277418
"190",0.23080512108072
"191",0.23080512108072
"192",0.23080512108072
"193",0.23080512108072
"194",0.23080512108072
"195",0.23080512108072
"196",0.522192448277418
"197",0.522192448277418
"198",0.522192448277418
"199",0.23080512108072
"200",0.23080512108072
"201",0.522192448277418
"202",0.23080512108072
"203",0.23080512108072
"204",0.23080512108072
"205",1.77729166519822
"206",0.23080512108072
"207",0.23080512108072
"208",0.522192448277418
"209",0.23080512108072
"210",0.23080512108072
"211",0.23080512108072
"212",1.77729166519822
"213",0.23080512108072
"214",0.522192448277418
"215",0.23080512108072
"216",0.23080512108072
"217",0.23080512108072
"218",0.23080512108072
"219",0.23080512108072
"220",0.23080512108072
"221",0.23080512108072
"222",0.23080512108072
"223",1.75076908321826
"224",0.23080512108072
"225",0.23080512108072
"226",3.24223572040939
"227",0.23080512108072
"228",0.23080512108072
"229",0.522192448277418
"230",0.23080512108072
"231",0.23080512108072
"232",0.522192448277418
"233",0.522192448277418
"234",0.23080512108072
"235",0.23080512108072
"236",1.77729166519822
"237",0.23080512108072
"238",0.23080512108072
"239",0.23080512108072
"240",0.522192448277418
"241",0.23080512108072
"242",6.21186631748708
"243",0.522192448277418
"244",0.23080512108072
"245",0.23080512108072
"246",1.75076908321826
"247",0.23080512108072
"248",0.522192448277418
"249",0.23080512108072
"250",0.522192448277418
"251",0.23080512108072
"252",0.23080512108072
"253",3.24223572040939
"254",0.23080512108072
"255",1.75076908321826
"256",0.23080512108072
"257",0.23080512108072
"258",0.23080512108072
"259",0.23080512108072
"260",0.23080512108072
"261",0.23080512108072
"262",0.522192448277418
"263",0.23080512108072
"264",1.75076908321826
"265",0.23080512108072
"266",0.23080512108072
"267",0.23080512108072
"268",0.522192448277418
"269",0.23080512108072
"270",0.23080512108072
"271",0.23080512108072
"272",0.23080512108072
"273",0.23080512108072
"274",0.23080512108072
"275",3.24223572040939
"276",9.17925030919857
"277",0.23080512108072
"278",0.23080512108072
"279",0.23080512108072
"280",0.23080512108072
"281",0.23080512108072
"282",0.23080512108072
"283",0.23080512108072
"284",0.23080512108072
"285",0.522192448277418
"286",0.23080512108072
"287",0.23080512108072
"288",0.23080512108072
"289",0.23080512108072
"290",0.23080512108072
"291",0.23080512108072
"292",0.23080512108072
"293",0.23080512108072
"294",0.522192448277418
"295",0.23080512108072
"296",0.522192448277418
"297",0.23080512108072
"298",0.23080512108072
"299",0.23080512108072
"300",0.23080512108072
"301",0.23080512108072
"302",1.77729166519822
"303",0.23080512108072
"304",0.522192448277418
"305",0.522192448277418
"306",0.23080512108072
"307",0.23080512108072
"308",0.23080512108072
"309",0.23080512108072
"310",0.23080512108072
"311",0.23080512108072
"312",0.23080512108072
"313",0.23080512108072
"314",0.23080512108072
"315",0.23080512108072
"316",0.23080512108072
"317",0.23080512108072
"318",0.23080512108072
"319",0.23080512108072
"320",0.23080512108072
"321",0.522192448277418
"322",0.23080512108072
"323",0.522192448277418
"324",-29.6257356284
"325",0.522192448277418
"326",0.23080512108072
"327",6.21186631748708
"328",0.23080512108072
"329",1.77729166519822
"330",0.23080512108072
"331",0.23080512108072
"332",0.23080512108072
"333",0.522192448277418
"334",0.522192448277418
"335",0.522192448277418
"336",0.522192448277418
"337",0.522192448277418
"338",0.522192448277418
"339",0.23080512108072
"340",0.23080512108072
"341",0.23080512108072
