"","leaf_no_t","tau","ben_c","alt_ben","alt_output","cost","alt_cost","ben_cost"
"3052",0.152195335890279,0.11482262042001,0.049090720670064,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0632911392405063
"3053",0.465072164533218,0.11482262042001,0.163217259159963,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3054",0.897951882316022,1.71628470702478,0.0161207369407675,0.376856965903634,2.09314167292842,0,0.12962962962963,0
"3055",0.563382268664706,0.11482262042001,0.049090720670064,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0632911392405063
"3056",0.145059731561342,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3057",0.587215391620079,0.686325582775531,0.563091289479426,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3058",0.483711831087415,0.11482262042001,0.049090720670064,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0632911392405063
"3059",2.19793692494899,1.71628470702478,-5.84199355557757e-16,0.376856965903634,2.09314167292842,0,0.12962962962963,0
"3060",0.151896759377824,0.11482262042001,0.049090720670064,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0632911392405063
"3061",0.175500502754741,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3062",3.76412339256403,0.11482262042001,0.049090720670064,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0632911392405063
"3063",2.15145654893621,1.71628470702478,0.0161207369407675,0.376856965903634,2.09314167292842,0,0.12962962962963,0
"3064",0.667159312293643,0.11482262042001,0.0496260625662278,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3065",0.0763522587171222,0.11482262042001,0.0431386188727397,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0310077519379845
"3066",0.322905749561477,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3067",0.0629815714680602,0.11482262042001,0.000736189436880186,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3068",0.151896759377824,0.11482262042001,0.0496260625662278,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3069",0.199075157704269,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3070",0.172903849379892,0.11482262042001,0.0496260625662278,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3071",0.462084176453596,0.11482262042001,0.049090720670064,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0632911392405063
"3072",0.428121111646756,0.686325582775531,0.0161207369407675,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3073",0.0840056114108598,0.11482262042001,0.0241591040478305,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0183654729109275
"3074",0.111800025310871,0.11482262042001,0.0343142185631658,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3075",0.114498667008229,0.11482262042001,0.0496260625662278,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3076",0.935680040652271,0.686325582775531,0.00605813378966765,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0.555555555555556
