users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
59,228.448362,9.971943515,0.028056485,10
93,298.6786825,14.98020562,0.019794376,15
189,353.9535639,19.98661588,0.01338412,20
196,402.3941876,24.99000738,0.009992623,25
208,450.0597334,29.98484376,0.01515624,30
262,493.1405197,34.97400918,0.025990818,35
328,535.9881769,39.97010937,0.029890627,40
394,578.9367996,44.99230341,0.007696588,45
456,617.8556225,49.98581687,0.014183132,50
546,643.867554,54.99695663,0.003043367,55
664,669.1217788,59.96476248,0.035237522,60
783,694.5900223,64.97466837,0.025331628,65
902,720.0582659,69.98457427,0.015425734,70
991,760.9953873,74.98219092,0.017809075,75
998,788.1993821,79.99511409,0.004885914,80
1000,806.61476,84.93852006,0.061479942,85
1000,813.4582759,89.92089171,0.079108286,90
1000,813.5335129,90.08617186,4.913828136,95
1000,813.5335129,90.08617186,9.913828136,100
1000,813.5335129,90.08617186,14.91382814,105
1000,813.5335129,90.08617186,19.91382814,110
1000,813.5335129,90.08617186,24.91382814,115
1000,813.5335129,90.08617186,29.91382814,120
1000,813.5335129,90.08617186,34.91382814,125
1000,813.5335129,90.08617186,39.91382814,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
69,183.4168159,9.967310789,0.032689211,10
158,238.7320081,14.99459602,0.005403976,15
161,291.3773785,19.99459602,0.005403976,20
175,338.8783079,24.99316075,0.006839255,25
195,383.5662032,29.96780407,0.032195926,30
261,426.5148258,34.98999811,0.010001886,35
326,469.3503951,39.99618595,0.003814048,40
392,512.1980523,44.99228614,0.007713857,45
447,548.0548373,49.99763528,0.002364718,50
531,574.0612737,54.99357781,0.006422194,55
649,599.3154984,59.96138365,0.038616349,60
768,624.783742,64.97128954,0.028710455,65
887,650.2519856,69.98119544,0.018804561,70
990,686.4802381,74.99222171,0.007778293,75
1000,712.5476581,79.97062716,0.029372838,80
1000,725.2910813,84.98729345,0.012706552,85
1000,725.9305955,86.39217473,3.607825273,90
1000,725.9305955,86.39217473,8.607825273,95
1000,725.9305955,86.39217473,13.60782527,100
1000,725.9305955,86.39217473,18.60782527,105
1000,725.9305955,86.39217473,23.60782527,110
1000,725.9305955,86.39217473,28.60782527,115
1000,725.9305955,86.39217473,33.60782527,120
1000,725.9305955,86.39217473,38.60782527,125
1000,725.9305955,86.39217473,43.60782527,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
