"users_served","total_utility_lp","total_cost_lp","budget_left","budget_v"
70,213.530841119493,9.98348197696026,0.0165180230397404,10
153,270.117489778949,14.9866413531063,0.0133586468936802,15
169,316.93398146718,19.991240765307,0.00875923469299167,20
191,362.569320206574,24.9669321910854,0.0330678089146126,25
257,405.853695275572,29.9970261808711,0.00297381912892547,30
323,448.365600070558,34.9852264206352,0.014773579364828,35
388,491.100203865285,39.9653204104209,0.0346795895791416,40
448,529.679744245431,44.9681780280396,0.0318219719604187,45
539,555.548549496571,49.9862978155243,0.0137021844756902,50
658,581.016793066056,54.9962037095312,0.00379629046875607,55
776,606.271017782016,59.9640095540087,0.0359904459912954,60
895,631.739261351501,64.9739154480156,0.0260845519843684,65
997,669.139843914136,69.9952512197229,0.00474878027712577,70
998,695.372142576296,74.9912300973251,0.00876990267485667,75
1000,707.637483341168,79.9811820449172,0.0188179550827954,80
1000,709.041635341733,82.3414023511265,2.65859764887347,85
1000,709.041635341733,82.3414023511265,7.65859764887347,90
1000,709.041635341733,82.3414023511265,12.6585976488735,95
1000,709.041635341733,82.3414023511265,17.6585976488735,100
1000,709.041635341733,82.3414023511265,22.6585976488735,105
1000,709.041635341733,82.3414023511265,27.6585976488735,110
1000,709.041635341733,82.3414023511265,32.6585976488735,115
1000,709.041635341733,82.3414023511265,37.6585976488735,120
1000,709.041635341733,82.3414023511265,42.6585976488735,125
1000,709.041635341733,82.3414023511265,47.6585976488735,130
"users_served","total_utility_lp","total_cost_lp","budget_left","budget_v"
123,183.347350919972,9.99665845408789,0.00334154591210734,10
169,232.255518005313,14.9856779869271,0.0143220130729347,15
197,277.42668564952,19.9901160052227,0.00988399477733282,20
262,320.262254876768,24.9963038440889,0.00369615591111483,25
328,363.1099120925,29.9924040343235,0.00759596567648657,30
394,405.223953525825,34.9862354147853,0.0137645852146733,35
453,435.372875638734,39.9748403940228,0.0251596059772226,40
572,460.841119208219,44.9847462880297,0.0152537119702956,45
691,486.309362777704,49.9946521820366,0.00534781796336148,50
